"_col0","title","type","address","city","state","postalcode","country","region","latitude","longitude","isopening","rundate"
"dc20968","The Kingsley","destination charger","The Kingsley,  Cork,   Ireland","Cork","","","Ireland","europe","51.893546","-8.508452","false","2022-09-05 12:05:22 PDT"
"dc20959","ABM Parking 750 Lexington Ave LLC","destination charger","118 E 60th St New York, New York 10022","New York","New York","10022","United States","north_america","40.76306","-73.968409","false","2022-09-05 12:05:22 PDT"
"aleksinacsupercharger","Aleksinac Supercharger","supercharger","Žitkovački put BB 18220 Aleksinac Serbia","Aleksinac","","18220","Serbia","europe","43.528816","21.709413","false","2022-09-05 12:05:22 PDT"
"dc18634","Hotel Schönruh","destination charger","Innertal 285","Gerols","","6281","Austria","europe","47.229739","12.045904","false","2022-09-05 12:05:22 PDT"
"dc18636","Icon 299 Peal Street Seaport Parking","destination charger","238 Pearl St New York, New York 10069","New York","NY","10069","United States","north_america","40.707679","-74.004687","false","2022-09-05 12:05:22 PDT"
"dc1871","Chateau Elan Winery & Resort","destination charger","100 Rue Charlemagne Dr Braselton, GA 30517","Braselton","GA","30517","United States","north_america","34.101297","-83.817654","false","2022-09-05 12:05:22 PDT"
"dc20947","Walmart las Torres","destination charger","Avenida Eugenio Garza Sada 6101 Las Brisas Monterrey, Nuevo Leon 64780","Monterrey","Nuevo Leon","64780","Mexico","north_america","25.615556","-100.27446","false","2022-09-05 12:05:22 PDT"
"twinfallssupercharger","Twin Falls Supercharger","supercharger","Twin Falls Visitor Center 2015 Neilsen Point Place Twin Falls, ID 83301","Twin Falls","ID","83301","United States","north_america","42.597887","-114.455249","false","2022-09-05 12:05:22 PDT"
"dc20942","Walmart Plateros","destination charger","Blvd. Adolfo Lopez Mateos 1701 Lomas de Plateros Ciudad de Mexico, Benito Juarez 01480","Ciudad de Mexico","Benito Juarez","1480","Mexico","north_america","19.369733","-99.194157","false","2022-09-05 12:05:22 PDT"
"dc20943","Walmart Nino Obrero","destination charger","Av. Nino Obrero 1551 Cd del Sol Zapopan, Guadalajara 45050","Zapopan","Guadalajara","45050","Mexico","north_america","19.358103","-99.151884","false","2022-09-05 12:05:22 PDT"
"maursetsupercharger","Maurset Supercharger","supercharger","Sjonaleitsvegen 2 Vøringsfossen 5785 Norway","Vøringsfossen","","5785","Norway","europe","60.410401","7.325072","false","2022-09-05 12:05:22 PDT"
"dc18624","Troutbeck","destination charger","515 Leedsville Rd Amenia, New York 12501","Amenia","New York","12501","United States","north_america","41.853424","-73.51334","false","2022-09-05 12:05:22 PDT"
"dc19956","La Coquillade Provence Village","destination charger","Le Perrotet, Hameau la Coquillade, Gargas,  84400 France","Gargas","","84400","France","europe","43.87939","5.321029","false","2022-09-05 12:05:22 PDT"
"dc56971","Dvur Perlova voda","destination charger","Kostelec nad Ohri 13, 413 01 Budyne nad Ohri, Czech Republic","Budyne nad Ohri","","413 01","Czech Republic","europe","50.39488","14.0921","false","2022-09-05 12:05:22 PDT"
"dc31672","Sport- und Wellnesshotel Bichlhof","destination charger","Bichlnweg  153, 6370 Kitzbuehel, Austria","Kitzbuehel","","6370","Austria","europe","47.432478","12.42629","false","2022-09-05 12:05:22 PDT"
"dc56977","ILONN HOTEL","destination charger","Szarych Szeregow 16, 60-462 Poznan, Poland","Poznan","","60-462","Poland","europe","52.458816","16.881011","false","2022-09-05 12:05:22 PDT"
"dc17368","Hotel Schloss Seefels","destination charger","Toschling  1, 9212 Portschach, Austria","Portschach","","9212","Austria","europe","46.634356","14.120472","false","2022-09-05 12:05:22 PDT"
"dc16036","The Ardnamurchan Distillery","destination charger","The Ardnamurchan Distillery  Glenbeg, Ardnamurchan , Argyll PH364JG United Kingdom","Ardnamurchan","Argyll","PH364JG","United Kingdom","europe","56.691483","-5.940657","false","2022-09-05 12:05:22 PDT"
"dc56974","Ringelnatz Inselhotel Malchow","destination charger","Lange Strasse 20, 17213 Malchow, Germany","Malchow","","17213","Germany","europe","53.474523","12.428933","false","2022-09-05 12:05:22 PDT"
"dc31670","Best Western Leoso Hotel Leverkusen","standard charger","Am Buechelter Hof  11, 51373 Leverkusen, Germany","Leverkusen","","51373","Germany","europe","51.035717","6.988502","false","2022-09-05 12:05:22 PDT"
"dc43652","The Fisherman's Retreat","destination charger","Riding Head Lane, Bye Road, Ramsbottom BL0 0HH United Kingdom","Bye Road","Ramsbottom","BL0 0HH","United Kingdom","europe","53.655762","-2.290255","false","2022-09-05 12:05:22 PDT"
"dc31689","David L. Lawrence Convention Center","destination charger","1000 Fort Duquesne Blvd Pittsburgh, Pennsylvania 15222","Pittsburgh","Pennsylvania","15222","United States","north_america","40.4462711","-79.9970378","false","2022-09-05 12:05:22 PDT"
"dc18687","Carlton Hotel Blanchardstown","destination charger","Carlton Hotel  Church Road, Tyrrelstown,  Dublin Ireland","Tyrrelstown","","Dublin","Ireland","europe","53.419053","-6.378743","false","2022-09-05 12:05:22 PDT"
"dc17350","Stamford Grand Adelaide","destination charger","2 Jetty Rd Glenelg SA 5045","Glenelg","","SA 5045","Australia","asia_pacific","-34.98098","138.511397","false","2022-09-05 12:05:22 PDT"
"dc18679","Mondrian South Beach","destination charger","1100 West Ave Miami Beach, Florida 33139","Miami Beach","FL","33139","United States","north_america","25.781954","-80.142626","false","2022-09-05 12:05:22 PDT"
"dc17336","Park Hotel Vitznau","destination charger","Seestrasse 18, 6354 Vitznau, Switzerland","Vitznau","","6354","Switzerland","europe","47.014967","8.478416","false","2022-09-05 12:05:22 PDT"
"dc79605","The Mills 南豐紗廠","standard charger","45 Pak Tin Par Street, Tsuen Wan, New Territories新界 荃灣 白田壩街45號","Hong Kong","","","Hong Kong S.A.R., China","asia_pacific","22.374757","114.109834","false","2022-09-05 12:05:22 PDT"
"dc16003","THE GRAND Ahrenshoop","destination charger","Schifferberg 24, 18347 Ahrenshoop, Germany","Ahrenshoop","","18347","Germany","europe","54.384082","12.425815","false","2022-09-05 12:05:22 PDT"
"dc17331","Tarrytown House Estate on the Hudson","destination charger","49 E Sunnyside Ln Tarrytown, New York 10591","Tarrytown","New York","10591","United States","north_america","41.049684","-73.857388","false","2022-09-05 12:05:22 PDT"
"dc67633","The Prince Hotel","destination charger","2 Acland Street St Kilda VIC 3182","St Kilda","","VIC 3182","Australia","asia_pacific","-37.862284","144.973965","false","2022-09-05 12:05:22 PDT"
"dc31637","Holiday Inn St. Augustine - Historic","destination charger","1302 N Ponce de Leon Blvd St. Augustine, Florida 32084","St. Augustine","Florida","32084","United States","north_america","29.9049033","-81.3200534","false","2022-09-05 12:05:22 PDT"
"dc1827","Langdon Hall Country House Hotel & Spa","destination charger","1 Langdon Dr Cambridge, Ontario N3H 4R8","Cambridge","Ontario","N3H 4R8","Canada","north_america","43.381492","-80.372067","false","2022-09-05 12:05:22 PDT"
"dc28059","Hotel Verdemare","destination charger","via Cipro, 35, 55045 Pietrasanta, Italy","Pietrasanta","","55045","Italy","europe","43.915906","10.212963","false","2022-09-05 12:05:22 PDT"
"dc28057","Bluestone National Park Resort","destination charger","Bluestone, Canaston Wood, Narberth, Narberth SA678DE United Kingdom","Narberth","Pembrokeshire","SA678DE","United Kingdom","europe","51.783396","-4.801274","false","2022-09-05 12:05:22 PDT"
"dc29383","Hotel la Baita","destination charger","Localita' Fondo Piccolo, 20, 38064 Folgaria, Italy","Folgaria","","38064","Italy","europe","45.882351","11.199044","false","2022-09-05 12:05:22 PDT"
"dc17398","Hacienda Jurica by Brisas","destination charger","Paseo de Jurica 618 Hacienda Jurica Jurica, Queretaro 76100","Jurica","Queretaro","76100","Mexico","north_america","20.673924","-100.453393","false","2022-09-05 12:05:22 PDT"
"hongkongsohosupercharger","Soho Supercharger 蘇豪超級充電站","supercharger","18 Bridges Street, Soho, Central, Hong Kong Island 香港島 中環 蘇豪區 必列者士街 18號","Hong Kong","","","Hong Kong S.A.R., China","asia_pacific","22.28364","114.15089","false","2022-09-05 12:05:22 PDT"
"dc41074","Icon Parking 322 23rd Street","destination charger","318-322  E 23rd St New York, New York 10010","New York","New York","10010","United States","north_america","40.737533","-73.980437","false","2022-09-05 12:05:22 PDT"
"dc41079","Rapidpark 480 Riverside (120th St)","destination charger","480 Riverside Dr New York, New York 10027","New York","New York","10027","United States","north_america","40.811187","-73.963571","false","2022-09-05 12:05:22 PDT"
"tnamsupercharger","臺南市美術館2館超級充電站","supercharger","700 台南市中西區忠義路二段1號","台南市","","","Taiwan","asia_pacific","22.989876","120.20088","false","2022-09-05 12:05:22 PDT"
"dc41084","Standard Parking 270 Greenwich","destination charger","270 Greenwich St New York, New York 10007","New York","New York","10007","United States","north_america","40.715071","-74.012203","false","2022-09-05 12:05:22 PDT"
"dc28083","Wingate by Wyndham Little Rock","destination charger","1212 S Shackleford Rd Little Rock, Arkansas 72211","Little Rock","Arkansas","72211","United States","north_america","34.7421207","-92.3947512","false","2022-09-05 12:05:22 PDT"
"dc90063","Holiday Inn Ensenada","destination charger","Blancarte No. 151 Col. Centro  Ensenada, Baja California 22800","Ensenada","Baja California","22800","Mexico","north_america","31.861633","-116.621655","false","2022-09-05 12:05:22 PDT"
"burlingtonncsupercharger","Burlington, NC Supercharger","supercharger","1080 Piper Ln Burlington, NC 27215","Burlington","NC","27215","United States","north_america","36.070788","-79.511222","false","2022-09-05 12:05:22 PDT"
"dc28068","Old Green Dragon","destination charger","Blind Lane, Oxton, Nottingham NG25 0SS United Kingdom, Oxton NG25 0SS United Kingdom","Oxton","Nottingham","NG25 0SS","United Kingdom","europe","53.058692","-1.061694","false","2022-09-05 12:05:22 PDT"
"hokksundsupercharger","Hokksund Supercharger","supercharger","3  Prestebråtan Hokksund, Norway 3300","Hokksund","","3300","Norway","europe","59.761249","9.905515","false","2022-09-05 12:05:22 PDT"
"izmirsupercharger","Izmir","supercharger","","Izmir","","","Turkey","europe","38.417137","27.130529","true","2022-09-05 12:05:22 PDT"
"dc43694","Kragerup Gods","standard charger","Kragerupgårdsvej 33, 4291 Ruds Vedby, Denmark","Ruds Vedby","","4291","Denmark","europe","55.51016","11.379574","false","2022-09-05 12:05:22 PDT"
"dc31650","Residence Inn by Marriott Pinehurst Southern Pines","destination charger","105 Brucewood Rd Southern Pines, North Carolina 28387","Southern Pines","North Carolina","28387","United States","north_america","35.1728307","-79.4246222","false","2022-09-05 12:05:22 PDT"
"dc17393","Culinary Arts Center at Auburn Watson","destination charger","3295 Walden Ave Depew, New York 14043","Depew","New York","14043","United States","north_america","42.911924","-78.694689","false","2022-09-05 12:05:22 PDT"
"dc1806","Little River Inn","destination charger","7751 California 1 Little River, CA 95456","Little River","CA","95456","United States","north_america","39.272267","-123.789132","false","2022-09-05 12:05:22 PDT"
"dc29369","Gallo capitale pizza e grill","destination charger","via di Settebagni, 726, 00138 Roma, Italy","Roma","","138","Italy","europe","41.98828","12.518046","false","2022-09-05 12:05:22 PDT"
"dc28035","ホテルグランミラージュ","destination charger","〒937-0041 富山県魚津市吉島 1-1-20","富山県","","","Japan","asia_pacific","36.826122","137.41008","false","2022-09-05 12:05:22 PDT"
"dc54363","Hotell Utsikten Geiranger","destination charger","Geirangervegen 350 , 350 Geiranger, Norway, Geiranger 350 Norway","Geiranger","","350","Norway","europe","62.092607","7.224439","false","2022-09-05 12:05:22 PDT"
"fairfieldcasupercharger","Fairfield, CA - Travis Blvd Supercharger","supercharger","1350 Travis Blvd Fairfield, California United States 94533-3432","Fairfield","CA","94533-3432","United States","north_america","38.261782","-122.052399","false","2022-09-05 12:05:22 PDT"
"dc31665","The Crossing Motel","destination charger","39 Seignior St Junee NSW 2663","Junee","","NSW 2663","Australia","asia_pacific","-34.871014","147.582541","false","2022-09-05 12:05:22 PDT"
"dc31668","Novotel Marseille Centre Prado Vélodrome","destination charger","103  Avenue du Prado, Marseille,  13008 France","Marseille","","13008","France","europe","43.280709","5.387067","false","2022-09-05 12:05:22 PDT"
"dc43641","Felix Sommer Hotel - Restaurant - Vinothek","destination charger","Hauptstr. 112, 2214 Auersthal, Austria","Auersthal","","2214","Austria","europe","48.372668","16.639422","false","2022-09-05 12:05:22 PDT"
"morganhillsupercharger","Morgan Hill, CA Supercharger","supercharger","1061 Cochrane Road Morgan Hill, California United States 95037","Morgan Hill","CA","95037","United States","north_america","37.156369","-121.653476","false","2022-09-05 12:05:22 PDT"
"dc29354","Amadore Hotel Restaurant Arion","destination charger","Boulevard Bankert 266, Vlissingen 4382 AC Netherlands","Vlissingen","","4382 AC","Netherlands","europe","51.446344","3.564244","false","2022-09-05 12:05:22 PDT"
"dc17402","Hotel Oberwirt Weisses Kreuz","destination charger","Peter-Anich-Weg, 5, 39053 Steinegg, Italy","Steinegg","","39053","Italy","europe","46.483919","11.457039","false","2022-09-05 12:05:22 PDT"
"dc18738","NOLA Motorsports Park","destination charger","11075 Nicolle Blvd Avondale, Louisiana 70094","Avondale","Louisiana","70094","United States","north_america","29.887978","-90.193344","false","2022-09-05 12:05:22 PDT"
"dc547876","Harvest Home Avenel","destination charger","1 Bank Street Avenel VIC 3664","Avenel","VIC","VIC 3664","Australia","asia_pacific","-36.891159","145.229562","false","2022-09-05 12:05:22 PDT"
"dc43707","Bourne Valley Inn","destination charger","Upper Link, St Mary Bourne, Andover SP11 6BT United Kingdom","St Mary Bourne","Andover","SP11 6BT","United Kingdom","europe","51.246825","-1.391967","false","2022-09-05 12:05:22 PDT"
"dc43708","Anchor Inn","destination charger","Lower Froyle, Alton, Hampshire GU34 4NA United Kingdom","Alton","Hampshire","GU34 4NA","United Kingdom","europe","51.18836","-0.903896","false","2022-09-05 12:05:22 PDT"
"dc1733","Tamarack Country Club","destination charger","55 Locust Rd Greenwich, CT 06831","Greenwich","CT","6831","United States","north_america","41.0942381","-73.7098113","false","2022-09-05 12:05:22 PDT"
"dc18716","Fattoria San Martino","destination charger","Via di martiena , 3, 53045 Montepulciano, Italy","Montepulciano","","53045","Italy","europe","43.094561","11.796415","false","2022-09-05 12:05:22 PDT"
"dc31737","Hotel Gamma Belo Morelia","destination charger","Av. Camelinas 2938 Cinco de Diciembre Morelia, Michoacan 58280","Morelia","Michoacan","58280","Mexico","north_america","19.685278","-101.163392","false","2022-09-05 12:05:22 PDT"
"dc572827","特別養護老人ホーム長遊園","destination charger","〒885-0221 宮崎県都城市高野町2900","高野町","宮崎県","","Japan","asia_pacific","31.81112","130.957191","false","2022-09-05 12:05:22 PDT"
"dc30410","Homewood Suites Chicago-Schaumburg","destination charger","815 American Ln Schaumburg, Illinois 60173","Schaumburg","Illinois","60173","United States","north_america","42.047578","-88.05899","false","2022-09-05 12:05:22 PDT"
"dc18702","Hotel Estrimont Suites & Spa","destination charger","44 avenue de l'Auberge Orford, Quebec J1X 6J3","Orford","Quebec","J1X 6J3","Canada","north_america","45.306386","-72.164186","false","2022-09-05 12:05:22 PDT"
"dc17446","Cipriani Polanco","destination charger","Presidente Masaryk 311 Polanco Miguel Hidalgo, Ciudad de Mexico 11550","Miguel Hidalgo","Ciudad de Mexico","11550","Mexico","north_america","19.431843","-99.193952","false","2022-09-05 12:05:22 PDT"
"dc16114","Hotel Delfino Lugano","destination charger","Via Cassarinetta 6, 6902 Lugano, Switzerland","Lugano","","6902","Switzerland","europe","45.993497","8.942443","false","2022-09-05 12:05:22 PDT"
"dc18780","Hotel Le Ginestre - Porto Cervo","destination charger","Strada Provinciale, 59, 07021 Porto Cervo , Italy","Porto Cervo","","7021","Italy","europe","41.118053","9.535408","false","2022-09-05 12:05:22 PDT"
"dc18773","Hotel Kastel Seiser Alm","destination charger","Via Piani Grondl, 7, 39040 Castelrotto, Italy","Castelrotto","","39040","Italy","europe","46.568818","11.562423","false","2022-09-05 12:05:22 PDT"
"manzanaressupercharger","Manzanares Supercharger","supercharger","Restaurante el Cruce  Km 173 Autovia de Andalucía Manzanares 13200 Manzanares Spain","Manzanares","","13200","Spain","europe","39.006311","-3.383035","false","2022-09-05 12:05:22 PDT"
"dc29420","Albergo Genzianella","destination charger","via Sentiero degli Alpini, 2, 38030 Ziano di Fiemme, Italy","Ziano di Fiemme","","38030","Italy","europe","46.287028","11.565293","false","2022-09-05 12:05:22 PDT"
"dc1772","Quality Inn Payson","destination charger","801 N Beeline Hwy Payson, AZ 85541","Payson","AZ","85541","United States","north_america","34.2512098","-111.3217987","false","2022-09-05 12:05:22 PDT"
"dc508064","Cowes Transit Centre","destination charger","63-65 Chapel Street Cowes VIC 3922","Cowes","","VIC 3922","Australia","asia_pacific","-38.450441","145.240202","false","2022-09-05 12:05:22 PDT"
"dc1771","Best Western Bayou Inn","destination charger","9008 Westbank Expressway Westwego, LA 70094","Westwego","LA","70094","United States","north_america","29.9075536","-90.1605889","false","2022-09-05 12:05:22 PDT"
"dc17439","Westin Gualajara","destination charger","2911 Avenida de Las Rosas Rinconada del Bosque Guadalajara, Jalisco 44530","Guadalajara","Jalisco","44530","Mexico","north_america","20.653138","-103.389201","false","2022-09-05 12:05:22 PDT"
"dc17440","Sheraton Los Cabos","destination charger","Corredor Turistico Km. 10 Lote D Cabo del Sol Cabo San Lucas, Baja California 23410","Cabo San Lucas","Baja California","23410","Mexico","north_america","22.915156","-109.835751","false","2022-09-05 12:05:22 PDT"
"washingtonuksupercharger","Washington Supercharger","supercharger","Campanile Washington  Emerson Road  Washington, United Kingdom NE37 1LB","Washington","","NE37 1LB","United Kingdom","europe","54.887466","-1.558245","false","2022-09-05 12:05:22 PDT"
"dc29411","Ramada Revelstoke","destination charger","1750  Trans-Canada Hwy Revelstoke,  V0E 2S0","Revelstoke","","V0E 2S0","Canada","north_america","51.00966","-118.210031","false","2022-09-05 12:05:22 PDT"
"augustagasupercharger","Augusta, GA Supercharger","supercharger","1069 Stevens Creek Road  Augusta, Georgia  United States 30907","Augusta","GA","30907","United States","north_america","33.514985","-82.04446","false","2022-09-05 12:05:22 PDT"
"dc29404","City Express Saltillo Norte","destination charger","Perif. Luis Echeverría 1630 Col 16 Saltillo, Coahuila 25280","Saltillo","Coahuila","25280","Mexico","north_america","25.44469","-100.985428","false","2022-09-05 12:05:22 PDT"
"lasvegaswsaharaave","Las Vegas-W. Sahara Ave","store","7077 W Sahara Ave Las Vegas, NV 89117","Las Vegas","NV","89117","United States","north_america","36.143473","-115.246794","false","2022-09-05 12:05:22 PDT"
"missoulasupercharger","Missoula Supercharger","supercharger","Best Western Plus Grant Creek Inn 5280 Grant Creek Rd Missoula, MT 59808","Missoula","MT","59808","United States","north_america","46.914375","-114.031924","false","2022-09-05 12:05:22 PDT"
"superiorcosouthmarshallroadsupercharging","Superior, CO - South Marshall Road Supercharging","supercharger","2 South Marshall Road Superior, Colorado 80027","Superior","CO","80027","United States","north_america","39.954889","-105.164646","false","2022-09-05 12:05:22 PDT"
"dc18741","Hampton Inn Tampa East/Seffner","destination charger","11740 Tampa Gateway Blvd Seffner, Florida 33584","Seffner","Florida","33584","United States","north_america","28.008119","-82.301067","false","2022-09-05 12:05:22 PDT"
"dc31794","Fairbanks Village Plaza","destination charger","16236 San Dieguito Rd Rancho Santa Fe, California 92067","Rancho Santa Fe","California","92067","United States","north_america","32.997119","-117.194047","false","2022-09-05 12:05:22 PDT"
"dc30464","English Oak Vineyard","destination charger","Flowers Drove","Poole","Dorset","BH16 6BX","United Kingdom","europe","50.766851","-2.073197","false","2022-09-05 12:05:22 PDT"
"dc43772","Geniesserhotel & Restaurant Die Forelle","destination charger","Techendorf 80, 9762 Weissensee, Austria","Weissensee","","9762","Austria","europe","46.717782","13.289482","false","2022-09-05 12:05:22 PDT"
"dc17494","GADEN Apartment-Hotel","destination charger","Kirchberg 11, 83329 Waging am See, Germany","Waging am See","","83329","Germany","europe","47.934705","12.752974","false","2022-09-05 12:05:22 PDT"
"rubigensupercharger","Rubigen Supercharger","supercharger","Belpstrasse 103 Rubigen  3113","Rubigen","","3113","Switzerland","europe","46.892094","7.542931","false","2022-09-05 12:05:22 PDT"
"dc17478","The Old West Inn","destination charger","1221 S Main St Willits, California 95490","Willits","California","95490","United States","north_america","39.39969","-123.349082","false","2022-09-05 12:05:22 PDT"
"dc16146","Ocean View Chalets","destination charger","Ocean View Chalets, 39A-D Dunamallaght Road, Ballycastle, County Antrim BR54 6PF United Kingdom","Ballycastle","County Antrim","BR54 6PF","United Kingdom","europe","55.191617","-6.242496","false","2022-09-05 12:05:22 PDT"
"dc28128","대구백화점 프라자점","standard charger","대구광역시 중구 명덕로 333","대구광역시","","","South Korea","asia_pacific","35.855812","128.606333","false","2022-09-05 12:05:22 PDT"
"quebeccityruecyrilleduquet","Quebec City-2180 Rue Cyrille-Duquet","store","2180 Rue Cyrille-Duquet Quebec City, QC G1N 2E5","Quebec City","QC","G1N 2E5","Canada","north_america","46.795716","-71.279524","false","2022-09-05 12:05:22 PDT"
"dc18799","Days Inn and Suites, Airdrie","destination charger","911 Highland Park Cove NE Airdrie, Alberta T4A 0R2","Airdrie","","T4A 0R2","Canada","north_america","51.301112","-113.997597","false","2022-09-05 12:05:22 PDT"
"dc67768","Villa del Palmar at The Islands of Loreto","destination charger","m. 84 Calle Carretera Transpeninsular  Ensenada Blanca Loreto, Baja California Sur 23880","Loreto","Baja California Sur","23880","Mexico","north_america","25.717947","-111.233261","false","2022-09-05 12:05:22 PDT"
"calgaryfairmount","Calgary-Fairmount","store","6702 Fairmount Drive SE  Calgary, AB T2H 0X3","Calgary","AB","T2H 0X3","Canada","north_america","50.993254","-114.06378","false","2022-09-05 12:05:22 PDT"
"dc67765","Hotel La Huerta","destination charger","34 Profesor Valdivia San Ignacio, Baja California Sur 23930","San Ignacio","Baja California Sur","23930","Mexico","north_america","27.28195","-112.898947","false","2022-09-05 12:05:22 PDT"
"dc29441","Appartement Kichelerhof","destination charger","Astholz  52, 6261 Strass im Zillertal, Austria","Strass im Zillertal","","6261","Austria","europe","47.390608","11.824223","false","2022-09-05 12:05:22 PDT"
"dc17456","Westin Resort and Spa Cancun","destination charger","Blvd. Kukulcan KM 20 Zona Hotelera Cancun, Quintana Roo 77500","Cancun, Quintana Roo","","77500","Mexico","north_america","21.038935","-86.781869","false","2022-09-05 12:05:22 PDT"
"dc18786","Hampton Inn Jacksonville South/I-95 at JTB","destination charger","4681 Lenoir Ave E Jacksonville, Florida 32216","Jacksonville","Florida","32216","United States","north_america","30.249266","-81.5981","false","2022-09-05 12:05:22 PDT"
"dc18787","Hyatt Place Columbus/Worthington","destination charger","7490  Vantage Dr Columbus, Ohio 43235","Columbus","Ohio","43235","United States","north_america","40.115967","-83.013604","false","2022-09-05 12:05:22 PDT"
"dc28108","Crowne Plaza Dubai Deira","destination charger","Salah Al Din St, Dubai,   United Arab Emirates","Dubai","","","United Arab Emirates","middle_east","25.270783","55.327072","false","2022-09-05 12:05:22 PDT"
"dc67756","Mision Santa Maria","destination charger","Camino Playa Santa Maria S/N San Quintin Ensenada, Baja California 22930","Ensenada","Baja California","22930","Mexico","north_america","30.400377","-115.911936","false","2022-09-05 12:05:22 PDT"
"dc43737","Candlewood Suites Smyrna - Nashville","destination charger","930 Colonnade Dr Smyrna, Tennessee 37167","Smyrna","Tennessee","37167","United States","north_america","35.974206","-86.576891","false","2022-09-05 12:05:22 PDT"
"dc16199","Best Western Ambassador Hotel Menen","destination charger","Wahisstraat 34 - 44 , 8930 Menen, Belgium","Menen","","8930","Belgium","europe","50.801815","3.12192","false","2022-09-05 12:05:22 PDT"
"dc31759","Hawthorne Valley","destination charger","330 Country Rte 21C Ghent, New York 12075","Ghent","New York","12075","United States","north_america","42.252397","-73.64195","false","2022-09-05 12:05:22 PDT"
"slidellsupercharger","Slidell Supercharger","supercharger","Fremaux Town Center 1303 Town Center Pkwy Slidell, LA 70458","Slidell","LA","70458","United States","north_america","30.266552","-89.760156","false","2022-09-05 12:05:22 PDT"
"dc30430","Hotel Gundolf","destination charger","Tieflehn 19, 6481 St. Leonhard im Pitztal, Austria","St. Leonhard im Pitztal","","6481","Austria","europe","46.975188","10.868474","false","2022-09-05 12:05:22 PDT"
"dc16188","Le Clos de la Ribaudiere","destination charger","10 rue du Champ de Foire, Chasseneuil-du-Poitou, 86360 France","Chasseneuil-du-Poitou","","86360","France","europe","46.650701","0.376165","false","2022-09-05 12:05:22 PDT"
"dc16197","Hotel Restaurant Spa Torkel","destination charger","Seehalde 14, 88149 Nonnenhorn, Germany","Nonnenhorn","","88149","Germany","europe","47.575506","9.611288","false","2022-09-05 12:05:22 PDT"
"dc31705","Latitud","destination charger","Av Lázaro Cárdenas 2225 Valle Oriente Monterrey, Nuevo Leon 66260","Monterrey","Nuevo Leon","66260","Mexico","north_america","25.647491","-100.325805","false","2022-09-05 12:05:22 PDT"
"suzhouxiangcheng","Suzhou-Xiangcheng","service","No.2266 Taiyang Road Xiangcheng District, Suzhou, China 中国江苏省苏州市相城区太阳路2266号","Suzhou","32","","China Mainland","asia_pacific","31.411646","120.633917","false","2022-09-05 12:05:22 PDT"
"dc53170","Landhaus Sponsel-Regus","standard charger","Veilbronn 9, 91332 Heiligenstadt, Germany, Heiligenstadt 91332 Germany","Heiligenstadt","","91332","Germany","europe","49.841223","11.197854","false","2022-09-05 12:05:22 PDT"
"goudasupercharger","Gouda Supercharger","supercharger","Harderwijkweg 1 2803 PW Gouda Netherlands","Gouda","","2803 PW","Netherlands","europe","52.022778","4.684873","false","2022-09-05 12:05:22 PDT"
"dc79797","安德森幸福莊園","destination charger","978 花蓮縣瑞穗鄉中正北路一段431號","瑞穗鄉","","","Taiwan","asia_pacific","23.508146","121.376387","false","2022-09-05 12:05:22 PDT"
"laviksupercharger","Lavik Supercharger","supercharger","FV607 Lavik, Norway 6947","Lavik","","6947","Norway","europe","61.103661","5.513039","false","2022-09-05 12:05:22 PDT"
"dc1792","Oxford Suites Spokane Valley","destination charger","15015  E Indiana Ave Spokane Valley, Washington 99216","Spokane Valley","WA","99216","United States","north_america","47.673676","-117.201827","false","2022-09-05 12:05:22 PDT"
"lermoossupercharger","Lermoos Supercharger","supercharger","Hotel MOHR life resort Innsbruckerstrasse 40 Lermoos 6631 Austria","Lermoos","","6631","Austria","europe","47.3948","10.887553","false","2022-09-05 12:05:22 PDT"
"blindriveronsupercharger","Blind River, ON Supercharger","supercharger","498 Causley Street Blind River, Ontario Canada P0R 1B0","Blind River","ON","P0R 1B0","Canada","north_america","46.185322","-82.926876","false","2022-09-05 12:05:22 PDT"
"claymontdesupercharger","Claymont, DE Supercharger","supercharger","605 Naamans Road Brandywine, Delaware United States","Claymont","DE","19703","United States","north_america","39.817478","-75.457259","false","2022-09-05 12:05:22 PDT"
"dc42482","Royal Cinemas","destination charger","5 Towne Center Ct Pooler, Georgia 31322","Pooler","Georgia","31322","United States","north_america","32.146895","-81.25244","false","2022-09-05 12:05:22 PDT"
"dc55791","Arendal Herregaard Spa & Resort","destination charger","Hoveveien 65 , 4818 Faervik, Norway","Faervik","","4818","Norway","europe","58.446326","8.849191","false","2022-09-05 12:05:22 PDT"
"dc55798","Glasshytta Spiseri","destination charger","Riksveg 2 3960 , 2240 Magnor, Norway, Magnor 2240 Norway","Magnor","","2240","Norway","europe","59.931625","12.239529","false","2022-09-05 12:05:22 PDT"
"dc77126","Desert Cave Hotel","destination charger","1 Hutchison St Coober Pedy SA 5723","Coober Pedy","","SA 5723","Australia","asia_pacific","-29.0106166","134.7543206","false","2022-09-05 12:05:22 PDT"
"santanarowsjsupercharger","San Jose, CA - Santana Row Supercharger","supercharger","330 South Winchester San Jose, California United States 95128","San Jose","CA","95128","United States","north_america","37.321909","-121.949106","false","2022-09-05 12:05:22 PDT"
"chicagogoldcoast","Chicago-Gold Coast","store","901 North Rush Street Chicago, IL 60611","Chicago","IL","60611","United States","north_america","41.899258","-87.6288655","false","2022-09-05 12:05:22 PDT"
